venue,batting_team,bowling_team,total_overs_played,first_inning_score,second_inning_score,total_runs_in_innings1,%
9.0,4,9,1.142602088702495,-0.21452439819863486,-1.0555434934522507,0.46948909869134287,0.6336999999999999
1.0,5,0,1.142602088702495,-1.0451628680237484,-0.7901497008128279,0.2882827798981929,0.5
4.0,7,6,1.142602088702495,-0.5165747508623125,-0.34782671308045626,0.35299932232431785,0.5442
7.0,1,3,1.142602088702495,-0.6298436331111916,-0.6574528044931164,-0.889558292257282,0.5816
2.0,8,4,1.142602088702495,-0.36554957453047365,-1.0555434934522507,0.7024686514253928,0.5681
0.0,9,2,1.142602088702495,-0.5543310449452722,-0.6574528044931164,1.3366907672014177,0.8076000000000001
9.0,1,0,1.142602088702495,-0.21452439819863486,-1.0555434934522507,-0.7730685158902569,1.0
6.0,5,3,1.142602088702495,1.8998280704471084,1.6426267317152157,0.1976796205016179,0.5
4.0,9,6,1.142602088702495,-0.5165747508623125,-0.34782671308045626,0.9613348211298928,0.4414
7.0,0,8,1.142602088702495,-0.6298436331111916,-0.6574528044931164,0.44360248172089284,0.5
6.0,2,1,1.142602088702495,1.8998280704471084,1.6426267317152157,-0.022356623747207083,0.047599999999999996
2.0,7,3,1.142602088702495,-0.36554957453047365,-1.0555434934522507,0.7542418853662928,0.35950000000000004
4.0,5,4,1.142602088702495,-0.5165747508623125,-0.34782671308045626,-0.29416610193693205,0.5
