Team,Opposition,Mat,Won,Lost,%
Afghanistan,Australia,4,0,4,-
Afghanistan,Bangladesh,16,6,10,37.5
Afghanistan,England,3,1,2,33.33
Afghanistan,India,4,0,3,12.5
Afghanistan,Ireland,30,16,13,55.17
Afghanistan,New Zealand,3,0,3,-
Afghanistan,Pakistan,8,1,7,12.5
Afghanistan,South Africa,2,0,2,-
Afghanistan,Sri Lanka,12,4,7,36.36
Australia,Afghanistan,4,4,0,100
Australia,Bangladesh,22,20,1,95.23
Australia,England,156,88,63,58.16
Australia,India,150,83,57,59.28
Australia,Ireland,5,4,0,100
Australia,New Zealand,142,96,39,71.11
Australia,Pakistan,108,70,34,67.14
Australia,South Africa,109,50,55,47.68
Australia,Sri Lanka,103,64,35,64.64
Bangladesh,Afghanistan,16,10,6,62.5
Bangladesh,Australia,22,1,20,4.76
Bangladesh,England,25,5,20,20
Bangladesh,India,41,8,32,20
Bangladesh,Ireland,16,11,2,84.61
Bangladesh,New Zealand,42,10,31,24.39
Bangladesh,Pakistan,39,5,34,12.82
Bangladesh,South Africa,25,6,19,24
Bangladesh,Sri Lanka,54,10,42,19.23
England,Afghanistan,3,2,1,66.66
England,Australia,156,63,88,41.83
England,Bangladesh,25,20,5,80
England,India,107,44,58,43.26
England,Ireland,15,11,2,84.61
England,New Zealand,96,44,45,49.45
England,Pakistan,92,57,32,64.04
England,South Africa,70,30,34,46.92
England,Sri Lanka,79,38,37,50.65
India,Afghanistan,4,3,0,87.5
India,Australia,150,57,83,40.71
India,Bangladesh,41,32,8,80
India,England,107,58,44,56.73
India,Ireland,3,3,0,100
India,New Zealand,117,59,50,54.09
India,Pakistan,135,57,73,43.84
India,South Africa,91,38,50,43.18
India,Sri Lanka,168,99,57,63.37
Ireland,Afghanistan,30,13,16,44.82
Ireland,Australia,5,0,4,-
Ireland,Bangladesh,16,2,11,15.38
Ireland,England,15,2,11,15.38
Ireland,India,3,0,3,-
Ireland,New Zealand,7,0,7,-
Ireland,Pakistan,7,1,5,21.42
Ireland,South Africa,8,1,6,14.28
Ireland,Sri Lanka,5,0,5,-
New Zealand,Afghanistan,3,3,0,100
New Zealand,Australia,142,39,96,28.88
New Zealand,Bangladesh,42,31,10,75.6
New Zealand,England,96,45,44,50.54
New Zealand,India,117,50,59,45.9
New Zealand,Ireland,7,7,0,100
New Zealand,Pakistan,116,51,61,45.57
New Zealand,South Africa,72,25,42,37.31
New Zealand,Sri Lanka,102,52,41,55.85
Pakistan,Afghanistan,8,7,1,87.5
Pakistan,Australia,108,34,70,32.85
Pakistan,Bangladesh,39,34,5,87.17
Pakistan,England,92,32,57,35.95
Pakistan,India,135,73,57,56.15
Pakistan,Ireland,7,5,1,78.57
Pakistan,New Zealand,116,61,51,54.42
Pakistan,South Africa,83,30,52,36.58
Pakistan,Sri Lanka,157,93,59,61.11
South Africa,Afghanistan,2,2,0,100
South Africa,Australia,109,55,50,52.31
South Africa,Bangladesh,25,19,6,76
South Africa,England,70,34,30,53.07
South Africa,India,91,50,38,56.81
South Africa,Ireland,8,6,1,85.71
South Africa,New Zealand,72,42,25,62.68
South Africa,Pakistan,83,52,30,63.41
South Africa,Sri Lanka,81,46,33,58.12
Sri Lanka,Afghanistan,12,7,4,63.63
Sri Lanka,Australia,103,35,64,35.35
Sri Lanka,Bangladesh,54,42,10,80.76
Sri Lanka,England,79,37,38,49.34
Sri Lanka,India,168,57,99,36.62
Sri Lanka,Ireland,5,5,0,100
Sri Lanka,New Zealand,102,41,52,44.14
Sri Lanka,Pakistan,157,59,93,38.88
Sri Lanka,South Africa,81,33,46,41.87
